date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:08	19574/19574	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2013:31:07%20GMT	https://www.taichivip.com/robots.txt		(from )
21:31:08	123042/123042	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2013:31:07%20GMT	https://www.taichivip.com/	C:/My%20Web%20Sites/taichivip/www.taichivip.com/index.html	(from )
21:31:09	92053/92053	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2013:31:08%20GMT	https://www.taichivip.com/POST	C:/My%20Web%20Sites/taichivip/www.taichivip.com/POST.0.delayed	(from https://www.taichivip.com/)
21:31:09	14502/14502	---M--	200	added ('OK')	text/javascript	etag:%22a8b638c1122b923b%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/taichivip/apis.google.com/js/clientc932.js	(from https://www.taichivip.com/)
21:31:09	123090/123090	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2013:31:08%20GMT	https://www.taichivip.com/%e9%a6%96%e9%a0%81	C:/My%20Web%20Sites/taichivip/www.taichivip.com/%e9%a6%96%e9%a0%81.html	(from https://www.taichivip.com/)
21:31:10	202220/202220	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2013:31:09%20GMT	https://www.taichivip.com/%e6%9c%80%e6%96%b0%e6%b6%88%e6%81%af	C:/My%20Web%20Sites/taichivip/www.taichivip.com/%e6%9c%80%e6%96%b0%e6%b6%88%e6%81%af.html	(from https://www.taichivip.com/)
21:31:10	195079/195079	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2013:31:09%20GMT	https://www.taichivip.com/%e5%87%ba%e7%89%88%e5%93%81%e5%88%97%e8%a1%a8	C:/My%20Web%20Sites/taichivip/www.taichivip.com/%e5%87%ba%e7%89%88%e5%93%81%e5%88%97%e8%a1%a8.html	(from https://www.taichivip.com/)
21:31:10	135463/135463	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2013:31:09%20GMT	https://www.taichivip.com/%e5%89%b5%e6%9c%83%e4%ba%ba%e4%bb%8b%e7%b4%b9	C:/My%20Web%20Sites/taichivip/www.taichivip.com/%e5%89%b5%e6%9c%83%e4%ba%ba%e4%bb%8b%e7%b4%b9.html	(from https://www.taichivip.com/)
21:31:10	24740/24740	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sat,%2026%20Jul%202025%2013:31:09%20GMT	https://www.taichivip.com/%e5%89%b5%e6%9c%83%e4%ba%ba%e4%bb%8b%e7%b4%b9/%e6%b7%b5%e6%ba%90	C:/My%20Web%20Sites/taichivip/www.taichivip.com/%e5%89%b5%e6%9c%83%e4%ba%ba%e4%bb%8b%e7%b4%b9/%e6%b7%b5%e6%ba%90.html	(from https://www.taichivip.com/)
21:31:11	110933/110933	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2013:31:10%20GMT	https://www.taichivip.com/%e5%a4%aa%e6%a5%b5%e5%bf%83%e6%b3%95	C:/My%20Web%20Sites/taichivip/www.taichivip.com/%e5%a4%aa%e6%a5%b5%e5%bf%83%e6%b3%95.html	(from https://www.taichivip.com/)
21:31:11	119418/119418	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2013:31:10%20GMT	https://www.taichivip.com/%e8%88%87%e6%88%91%e5%80%91%e8%81%af%e7%b5%a1	C:/My%20Web%20Sites/taichivip/www.taichivip.com/%e8%88%87%e6%88%91%e5%80%91%e8%81%af%e7%b5%a1.html	(from https://www.taichivip.com/)
21:31:11	294/294	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	https://ssl.gstatic.com/atari/images/sociallinks/link_white_28dp.png	C:/My%20Web%20Sites/taichivip/ssl.gstatic.com/atari/images/sociallinks/link_white_28dp.png	(from https://www.taichivip.com/)
21:31:11	425/425	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/sociallinks/facebook_white_28dp.png	C:/My%20Web%20Sites/taichivip/ssl.gstatic.com/atari/images/sociallinks/facebook_white_28dp.png	(from https://www.taichivip.com/)
21:31:11	310/310	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://ssl.gstatic.com/atari/images/sociallinks/youtube_white_28dp.png	C:/My%20Web%20Sites/taichivip/ssl.gstatic.com/atari/images/sociallinks/youtube_white_28dp.png	(from https://www.taichivip.com/)
